1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
43	-0.217792	5.775151	58.699797	0.002448	2.9
44	-0.205562	6.774077	56.588593	0.002899	3.0
45	-0.217985	5.972508	58.270294	0.001269	2.9
46	-0.215788	6.772258	56.592300	0.004162	2.9
47	-0.235715	7.461622	55.221588	0.002473	2.8
48	-0.206022	6.697300	56.745457	0.003349	2.8
49	-0.234712	7.300508	55.535962	0.001538	3.0
50	-0.231011	6.417006	57.325586	0.002699	2.8
51	-0.226664	6.427457	57.303744	0.002246	2.9
52	-0.250625	7.424665	55.293385	0.002944	3.0
53	-0.195980	6.556663	57.035061	0.002556	3.0
54	-0.202527	7.417970	55.306412	0.003905	3.5
55	-0.225717	8.417909	53.426502	0.003227	3.2
56	-0.214843	7.513598	55.120928	0.002964	2.9
57	-0.218357	8.487488	53.300436	0.001527	3.4
58	-0.219835	9.137788	52.150343	0.001338	3.3
59	-0.257597	9.703744	51.189066	0.001819	3.2
60	-0.238392	9.793642	51.039625	0.002980	3.1
61	-0.217915	9.305473	51.861786	0.002273	3.1
62	-0.252187	8.620503	53.061082	0.006356	3.0
63	-0.250895	7.716191	54.732048	0.003134	2.8
64	-0.238047	8.716116	52.890355	0.002378	2.9
65	-0.280344	9.714496	51.171145	0.003839	2.9
66	-0.217889	8.811115	52.721811	0.001460	2.7
67	-0.224150	9.259260	51.940991	0.003102	2.8
68	-0.222391	8.532267	53.219618	0.004408	2.9
69	-0.235430	9.532263	51.476562	0.002300	2.8
70	-0.252170	10.532259	49.844065	0.004191	3.1
71	-0.187117	10.093328	50.547691	0.003649	2.9
72	-0.245102	11.088512	48.980021	0.002673	3.0
73	-0.260663	11.514069	48.338950	0.002885	2.8
74	-0.192754	10.609787	49.721815	0.002669	2.8
75	-0.210232	9.761836	51.092397	0.001071	2.9
76	-0.226202	9.155841	52.119123	0.003238	3.2
77	-0.205399	8.671039	52.970709	0.004527	2.8
78	-0.229500	7.766727	54.635897	0.003035	2.7
79	-0.209051	6.862510	56.408988	0.003817	2.7
80	-0.222657	5.959296	58.298851	0.002658	2.9
81	-0.217023	5.152511	60.097326	0.004383	2.7
82	-0.238495	6.152506	57.884012	0.003444	2.8
83	-0.219267	7.152505	55.827925	0.003114	2.8
84	-0.242849	6.250186	57.676522	0.004501	2.8
85	-0.247923	6.041844	58.120888	0.002930	2.7
86	-0.244056	5.137551	60.131721	0.001929	2.6
87	-0.240327	6.121205	57.950815	0.004997	3.1
88	-0.218171	5.223346	59.934989	0.002853	2.8
89	-0.197247	4.319036	62.075664	0.004146	2.9
90	-0.260350	5.319033	59.717087	0.004463	2.9
91	-0.212326	4.414728	61.841936	0.001189	3.1
92	-0.228752	4.673115	61.219527	0.002049	2.9
93	-0.220426	4.973694	60.511068	0.003862	3.0
94	-0.252303	5.966324	58.283656	0.006808	2.6
95	-0.205761	5.062012	60.306010	0.004372	2.8
96	-0.208076	6.062012	58.077572	0.003563	2.9
97	-0.224554	7.061925	56.008131	0.004636	2.8
98	-0.244429	8.061788	54.081186	0.003536	3.2
99	-0.233441	7.157476	55.818070	0.006193	2.8
100	-0.220336	6.253164	57.670220	0.002779	2.8
101	-0.252907	5.348852	59.649505	0.001385	2.9
102	-0.236007	5.020119	60.403104	0.005284	2.8
103	-0.213736	4.753659	61.028064	0.002019	2.7
104	-0.221984	3.849355	63.248964	0.003257	2.9
105	-0.197990	4.755956	61.022622	0.003583	3.1
106	-0.224879	3.930661	63.042691	0.002629	2.8
107	-0.208108	4.896074	60.692442	0.003769	2.8
108	-0.229828	5.896051	58.435939	0.002888	3.1
109	-0.239153	4.991745	60.469044	0.002134	3.0
110	-0.270447	4.202778	62.362014	0.002599	2.9
111	-0.228726	3.307025	64.660153	0.003131	2.9
112	-0.238089	2.485554	66.921817	0.004530	2.9
113	-0.247503	3.485210	64.189605	0.002728	3.0
114	-0.257710	2.580917	66.651181	0.003182	2.8
